Music,Slow_songs_or_fast_songs,Pop,Rock,Hiphop_Rap,Latino,Techno_Trance,Comedy,Romantic,Sci-fi,Animated,Action,Finances,Shopping_centres,Entertainment_spending,Spending_on_looks,Spending_on_gadgets,Age,Gender,Education,Village-town,Only_child,House-block of flats,Height,Weight,Number_of_siblings,Dance,Folk,Country,Classical_music,Musical,Metal_or_Hardrock,Punk,Opera,Movies,Horror,Thriller
5,4,4,4,1,4,4,5,3,4,3,4,4,4,3,2,2,21,male,college/bachelor degree,city,no,house/bungalow,185,70,1,4,5,2,3,1,1,1,1,4,1,2
5,3,3,4,3,2,4,4,4,2,4,4,2,2,2,2,3,22,female,college/bachelor degree,village,no,house/bungalow,166,56,1,4,3,2,5,3,2,2,4,4,1,2
5,3,3,3,1,5,4,4,4,3,4,2,4,3,2,3,3,20,female,secondary school,city,no,block of flats,163,54,1,4,2,2,4,3,2,2,1,5,1,3
5,3,4,4,2,1,1,4,3,2,5,4,4,5,3,3,3,19,female,secondary school,city,no,house/bungalow,163,54,1,2,1,1,3,4,1,3,4,5,1,4
5,3,3,5,1,2,1,5,5,3,5,2,3,1,1,2,1,21,female,college/bachelor degree,city,no,block of flats,169,61,1,2,2,2,2,1,1,2,1,4,1,2
5,3,5,3,1,4,1,4,5,2,2,4,3,1,1,2,1,18,female,secondary school,village,no,house/bungalow,165,55,3,2,2,1,1,3,2,1,1,4,1,2
5,3,3,4,2,2,1,3,2,2,2,2,4,2,2,1,2,23,male,college/bachelor degree,city,no,block of flats,175,60,1,1,2,2,4,1,2,4,1,5,3,2
4,2,4,2,2,2,3,4,3,1,3,2,5,1,4,4,2,16,female,secondary school,village,no,house/bungalow,161,54,1,4,2,1,3,2,2,1,2,3,2,3
5,5,2,5,1,4,3,5,4,2,4,5,4,1,3,1,1,23,male,college/bachelor degree,city,yes,block of flats,188,90,0,4,1,2,4,4,5,2,2,3,1,3
4,3,4,4,4,1,3,4,3,3,4,4,2,2,5,1,4,21,male,secondary school,city,no,block of flats,180,85,2,2,3,4,2,1,2,2,1,4,4,4
5,3,1,5,1,3,1,3,2,2,4,5,4,2,3,2,2,23,female,masters degree,city,yes,house/bungalow,156,56,0,3,2,2,5,3,2,4,3,4,4,4
5,3,3,5,3,3,1,4,2,1,4,4,4,1,3,2,2,20,female,secondary school,village,yes,house/bungalow,172,80,0,3,3,3,3,4,3,1,3,3,1,4
5,3,2,4,2,3,2,5,4,4,4,2,3,4,4,4,2,20,female,secondary school,city,no,block of flats,157,54,1,3,3,2,3,2,3,3,2,5,2,3
3,5,4,4,4,1,1,4,4,1,5,4,4,3,1,1,1,20,female,secondary school,village,no,house/bungalow,163,56,2,4,1,1,3,1,1,4,1,3,1,2
4,3,4,4,3,2,3,4,3,4,3,4,2,1,5,2,3,19,female,primary school,city,no,block of flats,177,64,1,3,3,4,4,3,3,3,3,5,2,4
5,5,5,5,2,5,5,3,5,5,5,1,5,5,5,3,2,15,female,primary school,city,no,house/bungalow,173,49,3,5,1,5,5,5,5,1,2,5,1,4
5,4,4,5,2,3,1,4,5,2,5,2,3,4,3,3,3,20,female,secondary school,village,no,house/bungalow,178,75,1,5,3,1,2,2,2,2,1,5,1,1
5,4,4,2,5,1,3,2,1,4,3,5,4,5,3,3,4,18,male,primary school,village,yes,house/bungalow,193,103,2,3,1,1,2,2,1,2,1,5,3,5
5,4,4,4,2,2,1,5,5,5,5,3,5,4,1,2,2,15,female,primary school,village,no,house/bungalow,170,51,1,3,1,1,1,1,1,5,1,5,4,4
5,3,1,3,1,3,1,2,2,1,4,4,2,5,2,2,1,20,female,college/bachelor degree,city,no,house/bungalow,170,50,2,2,4,1,4,2,1,1,3,5,1,1
5,3,3,3,4,4,4,5,5,5,5,4,1,3,5,5,5,16,female,secondary school,village,yes,house/bungalow,170,59,1,4,3,3,3,3,1,1,2,5,5,3
5,3,3,5,3,1,1,5,2,4,3,4,4,3,3,1,4,18,male,secondary school,village,no,block of flats,185,62,1,2,1,3,5,1,4,4,3,4,3,5
5,3,4,3,5,1,1,5,4,3,2,4,3,3,3,2,3,21,male,secondary school,village,no,house/bungalow,185,90,1,4,3,2,3,2,1,1,3,5,4,4
5,4,5,4,5,2,3,5,5,2,4,3,2,4,3,1,4,19,female,college/bachelor degree,village,no,block of flats,168,53,1,5,3,2,3,3,1,2,2,5,3,3
3,4,3,5,4,5,2,5,5,1,5,1,1,3,5,1,1,19,female,primary school,city,yes,block of flats,170,65,1,1,3,1,3,1,5,4,1,3,3,1
5,4,3,5,5,2,1,3,3,4,2,4,4,2,1,1,3,18,male,secondary school,city,no,block of flats,185,83,2,3,2,3,2,2,4,3,1,5,2,3
4,3,5,3,4,3,3,5,5,4,3,4,4,4,3,3,5,20,male,secondary school,village,no,house/bungalow,165,55,3,4,4,4,3,3,2,3,2,4,4,4
5,2,3,5,1,1,1,4,3,4,2,4,3,3,5,3,2,22,female,secondary school,city,no,block of flats,177,61,1,2,2,3,4,4,5,3,4,5,2,4
5,4,2,4,2,2,2,5,2,2,3,4,4,1,4,3,3,20,male,secondary school,city,no,block of flats,180,100,1,3,1,1,3,2,4,4,1,5,4,4
5,3,4,4,4,2,2,5,3,2,3,4,2,1,5,4,1,25,male,college/bachelor degree,city,no,block of flats,170,72,2,5,2,2,3,3,2,1,2,5,5,3
5,3,1,5,2,2,1,5,3,2,1,4,4,1,4,3,4,24,male,college/bachelor degree,city,no,block of flats,185,81,1,1,2,4,5,1,4,4,3,4,4,4
5,4,3,3,3,2,2,3,3,4,4,2,5,5,3,5,4,19,female,secondary school,city,no,block of flats,171,72,1,4,3,3,5,2,2,3,3,4,5,4
5,4,3,5,3,2,1,4,4,3,2,4,4,5,4,4,1,25,male,doctorate degree,city,yes,block of flats,177,97,1,2,4,3,4,2,2,5,2,5,4,4
5,5,4,4,2,1,1,3,2,4,3,4,4,3,2,2,2,26,male,masters degree,village,no,house/bungalow,175,60,2,4,4,4,2,2,4,4,2,5,5,5
5,3,5,4,4,2,5,5,5,4,5,4,2,5,3,5,5,15,female,currently a primary school pupil,village,no,block of flats,160,48,2,4,2,1,3,2,1,3,1,5,4,4
5,3,1,5,3,1,3,5,3,5,4,3,3,1,4,2,2,19,male,secondary school,city,no,block of flats,194,79,1,3,2,1,2,1,4,5,1,5,5,4
5,3,4,5,4,2,3,5,3,5,4,5,3,5,2,4,2,20,female,secondary school,city,yes,house/bungalow,172,73,2,2,2,2,2,2,3,3,2,5,2,5
5,5,4,3,1,1,5,3,3,5,2,3,3,3,4,3,2,22,male,secondary school,city,no,block of flats,184,71,1,3,1,1,2,1,2,1,1,4,5,5
5,4,4,1,5,5,2,5,5,2,2,3,3,5,4,4,2,20,female,college/bachelor degree,city,yes,block of flats,168,60,1,5,2,4,3,1,1,1,1,5,1,1
5,5,1,3,1,2,1,5,3,3,4,4,5,2,4,2,2,21,female,secondary school,city,no,block of flats,161,65,1,1,2,1,3,1,5,2,5,4,4,4
5,4,4,4,3,1,1,5,3,3,4,4,3,5,1,5,5,20,female,secondary school,city,yes,block of flats,180,71,0,4,1,2,4,3,1,3,1,5,5,5
5,3,3,5,1,1,1,2,1,2,5,3,5,2,3,2,2,19,female,secondary school,village,yes,house/bungalow,157,57,2,2,1,2,4,4,4,3,1,5,3,2
5,4,4,4,4,1,1,5,3,3,4,4,3,5,5,5,5,20,male,secondary school,city,yes,block of flats,180,72,0,3,1,2,4,3,1,1,1,5,5,5
5,3,2,5,2,2,1,4,2,5,4,3,4,1,1,1,3,22,male,secondary school,village,no,house/bungalow,191,85,1,2,3,3,4,4,5,5,3,3,3,3
5,3,3,2,2,1,5,5,4,5,4,4,3,4,2,2,5,21,male,secondary school,city,no,block of flats,187,75,1,2,1,2,4,4,1,1,4,5,4,3
5,3,3,5,3,4,2,5,5,1,5,2,5,1,1,1,1,17,female,primary school,city,yes,block of flats,163,61,2,1,1,1,5,3,5,2,1,4,2,4
4,3,2,4,1,2,1,3,2,2,5,3,4,2,3,2,1,20,female,masters degree,city,no,block of flats,160,50,1,1,3,3,5,2,4,3,4,3,3,3
4,3,1,1,1,1,4,4,2,4,5,4,5,3,2,3,3,22,male,secondary school,city,no,block of flats,182,75,1,1,2,2,5,2,2,1,5,4,4,4
5,3,4,5,2,4,1,5,4,3,5,4,2,5,2,4,2,19,female,secondary school,city,yes,house/bungalow,158,47,0,4,3,2,4,4,4,3,5,5,1,4
5,4,2,5,1,1,1,5,2,3,3,1,2,5,2,2,1,21,female,college/bachelor degree,city,yes,house/bungalow,174,85,0,2,2,2,3,4,1,2,2,5,3,3
3,3,3,2,4,5,3,5,5,3,5,3,3,3,1,2,1,19,female,secondary school,city,no,block of flats,167,55,2,3,1,1,2,5,1,1,1,5,1,2
5,3,4,3,1,1,5,4,1,2,2,3,2,1,2,1,1,22,female,college/bachelor degree,city,no,block of flats,183,80,1,1,2,2,2,1,2,2,1,4,2,4
5,3,1,4,1,1,1,4,4,4,3,4,4,3,1,1,3,17,female,primary school,city,no,block of flats,166,54,1,1,3,2,5,3,5,4,4,5,5,5
4,4,2,4,2,2,2,4,4,3,4,2,4,4,2,3,2,16,female,primary school,city,no,block of flats,158,48,1,2,2,2,4,2,5,3,3,4,3,5
5,1,5,4,5,3,4,5,4,3,5,2,5,4,3,5,5,18,female,secondary school,city,no,block of flats,158,65,2,4,1,2,3,3,1,3,1,5,3,3
5,3,1,5,1,1,1,5,5,4,4,4,3,2,3,3,3,26,male,masters degree,city,no,house/bungalow,169,70,2,1,4,3,5,3,5,4,3,5,3,4
5,4,2,4,2,1,1,4,2,4,3,3,3,3,4,4,4,19,male,secondary school,city,no,house/bungalow,183,78,1,1,2,1,3,2,2,4,1,5,3,5
5,3,2,3,5,2,1,5,4,3,2,4,2,4,3,4,4,19,male,secondary school,city,yes,house/bungalow,185,70,1,2,2,2,3,2,1,1,2,4,5,5
5,3,4,4,4,3,3,5,5,4,5,3,4,4,4,4,4,20,female,secondary school,city,yes,block of flats,169,64,0,2,2,2,2,3,3,3,3,5,1,2
5,3,3,5,5,2,2,3,2,3,5,3,1,1,5,2,1,20,male,secondary school,village,no,house/bungalow,186,88,1,3,4,2,2,2,3,5,2,3,5,3
4,3,4,4,5,2,2,5,5,5,4,3,4,3,2,2,3,21,male,secondary school,city,no,block of flats,169,55,2,3,1,2,4,3,4,3,1,5,4,4
5,3,4,5,3,4,3,5,5,3,5,4,3,4,3,4,3,19,female,college/bachelor degree,city,no,block of flats,163,50,1,4,2,2,3,1,3,3,3,5,3,3
5,3,2,5,2,3,1,4,2,5,5,3,3,1,2,2,2,24,female,college/bachelor degree,city,no,house/bungalow,169,51,1,3,3,2,3,3,4,4,2,5,1,2
5,1,4,4,1,4,1,4,4,3,4,1,5,2,3,1,1,19,female,secondary school,city,yes,block of flats,160,53,1,2,4,3,5,5,3,1,5,5,1,1
5,3,3,4,1,1,1,4,1,4,2,5,4,1,1,3,2,25,male,college/bachelor degree,village,no,house/bungalow,184,85,3,5,2,2,5,5,4,3,5,5,5,4
5,3,3,3,2,4,1,5,5,5,5,4,4,3,2,3,1,20,female,college/bachelor degree,city,no,house/bungalow,170,62,1,2,3,3,4,5,1,4,4,5,5,5
5,3,4,4,4,3,1,4,2,3,3,3,1,5,3,4,1,19,female,secondary school,village,no,house/bungalow,170,60,2,3,2,1,3,2,1,5,2,3,3,4
5,4,5,5,5,5,4,5,5,3,1,5,2,5,5,4,3,21,female,secondary school,village,no,house/bungalow,176,55,1,5,1,2,2,5,1,1,1,5,2,5
5,3,2,4,3,1,2,5,3,5,5,5,3,3,4,4,3,20,male,secondary school,city,no,block of flats,170,62,1,1,3,3,5,1,2,3,5,5,5,5
5,4,5,5,4,3,5,5,4,3,5,5,5,4,3,4,5,20,female,secondary school,village,no,house/bungalow,168,69,1,4,2,3,3,4,2,5,2,5,1,3
4,3,3,5,2,3,1,5,2,3,4,4,3,3,2,4,3,18,female,primary school,city,no,block of flats,173,55,3,2,2,2,3,3,4,3,2,5,1,3
5,4,1,4,2,1,2,3,1,1,1,2,3,4,5,5,2,17,female,secondary school,city,yes,block of flats,163,68,0,1,1,1,1,1,5,3,1,4,4,2
5,3,4,3,3,3,2,5,5,3,5,4,3,4,2,2,3,19,female,primary school,village,no,house/bungalow,178,60,1,4,1,3,2,5,1,2,3,5,1,3
5,4,4,3,4,1,3,5,3,5,4,5,2,5,5,4,5,18,male,primary school,village,no,house/bungalow,182,70,2,2,1,3,2,3,1,1,2,5,3,2
5,3,1,3,5,3,1,5,3,2,5,4,2,3,5,4,2,18,male,secondary school,village,no,house/bungalow,200,90,2,4,3,3,4,2,1,2,3,5,3,3
5,3,3,5,5,3,4,5,3,4,5,2,1,3,3,1,1,30,male,masters degree,city,no,block of flats,178,71,2,4,5,1,4,3,5,4,3,5,4,5
5,3,5,5,2,3,1,5,5,3,5,3,4,5,1,4,2,24,female,secondary school,city,no,house/bungalow,153,42,1,3,2,4,4,3,3,3,1,5,1,3
5,3,4,2,4,5,2,5,3,2,5,4,4,4,2,5,3,20,female,secondary school,village,yes,house/bungalow,168,51,0,3,3,2,3,1,2,1,2,5,1,2
5,3,4,5,3,2,1,4,3,4,4,5,4,3,2,2,4,20,male,secondary school,village,no,house/bungalow,172,56,1,2,2,3,5,4,3,4,2,5,4,3
5,4,2,5,3,3,2,4,2,5,4,5,3,2,4,3,4,20,male,secondary school,village,no,house/bungalow,176,64,1,2,3,2,4,4,2,4,2,5,3,3
5,2,2,4,2,4,1,3,3,2,5,4,2,3,2,2,3,19,female,secondary school,village,no,house/bungalow,168,68,3,2,4,3,5,3,3,3,3,5,2,4
4,3,3,3,1,3,2,3,2,5,3,3,5,1,1,1,1,20,female,secondary school,village,no,house/bungalow,157,48,2,3,5,3,4,2,1,2,3,5,1,2
